R_fighter,B_fighter,B_current_lose_streak,B_current_win_streak,B_draw,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,Winner
Dan Christison,Brad Imes,1,0,0,3,900,1,0,0,0,0,0,0,0,Orthodox,200.66,,265,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,203.2,,265,29,33,0
Josh Koscheck,Ansar Chalangov,1,0,0,1,145,0,0,0,0,0,0,0,0,Orthodox,175.26,,170,1,0,0,5,414,0,0,0,0,1,1,0,2,Orthodox,177.8,185.42,170,26,28,0
Chael Sonnen,Trevor Prangley,1,0,0,8,721.6666667,0,0,0,1,0,1,0,2,Orthodox,185.42,190.5,185,1,0,0,2,380,0,0,0,0,0,0,0,0,Southpaw,185.42,187.96,205,33,29,0
Rich Franklin,David Loiseau,0,3,0,9,484,0,0,0,0,2,0,2,4,Orthodox,182.88,193.04,185,0,6,0,11,444,2,0,0,0,4,1,1,6,Southpaw,185.42,190.5,185,26,31,0
Mike Swick,Steve Vigneault,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,,185,0,2,0,2,21,0,0,0,0,2,0,0,2,Orthodox,185.42,195.58,170,28,26,0
Georges St-Pierre,BJ Penn,0,1,0,19,644,3,0,0,1,4,1,0,6,Orthodox,175.26,177.8,155,0,3,0,11,487.1666667,1,0,0,2,2,1,0,5,Orthodox,180.34,193.04,185,27,24,0
Nate Marquardt,Joe Doerksen,1,0,0,8,724.6666667,0,0,0,0,0,1,0,1,Orthodox,182.88,190.5,185,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,182.88,187.96,185,28,26,0
Mark Hominick,Yves Edwards,0,6,0,19,654,0,0,1,1,3,1,0,6,Southpaw,175.26,185.42,155,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,172.72,172.72,145,29,23,0
Sam Stout,Spencer Fisher,0,2,0,3,441.5,0,0,0,0,0,1,1,2,Southpaw,170.18,177.8,155,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,155,29,21,0
Jason Lambert,Rob MacDonald,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,205,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,190.5,185,27,30,0
Tom Murphy,Icho Larenas,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,,235,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,187.96,,227,25,31,0
Chuck Liddell,Randy Couture,0,1,0,40,740.3333333,12,1,0,2,5,2,1,11,Orthodox,185.42,190.5,205,0,4,0,28,575.7142857,3,0,0,5,6,0,1,12,Orthodox,187.96,193.04,205,42,36,0
Brandon Vera,Justin Eilers,2,0,0,3,179.3333333,1,0,0,0,1,0,0,1,Orthodox,185.42,,235,0,1,0,2,502,0,0,0,0,1,0,0,1,Orthodox,190.5,193.04,230,27,28,0
Marcio Cruz,Frank Mir,0,4,0,8,174,1,0,0,0,1,4,0,6,Southpaw,190.5,200.66,264,0,1,0,2,362,0,0,0,0,0,1,0,1,Orthodox,193.04,,232,26,27,0
Renato Sobral,Mike van Arsdale,1,0,0,7,737.6666667,0,0,0,1,0,1,0,2,Switch,187.96,,205,0,2,0,14,596.5,0,1,0,1,0,2,0,4,Orthodox,185.42,190.5,205,40,30,0
Joe Riggs,Nick Diaz,1,0,0,13,546.5,0,0,0,0,3,1,0,4,Southpaw,185.42,193.04,185,1,0,0,6,327.25,0,0,0,0,1,0,1,2,Southpaw,182.88,177.8,185,22,23,0
Alessio Sakara,Elvis Sinosic,4,0,0,7,324,1,0,0,0,0,1,0,1,Orthodox,190.5,195.58,205,1,0,0,2,310,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,185,34,24,0
Paul Buentello,Gilbert Aldana,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,185.42,,250,1,0,0,3,156.3333333,1,0,0,0,1,1,0,2,Orthodox,187.96,195.58,245,28,32,0
Jeff Monson,Branden Lee Hinkle,0,1,0,1,254,0,0,0,0,1,0,0,1,Orthodox,190.5,,235,2,0,0,8,760,0,0,0,1,0,0,0,1,Orthodox,175.26,187.96,247,32,35,0
Keith Jardine,Mike Whitehead,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,185.42,,205,0,1,0,2,508,0,0,0,0,1,0,0,1,Orthodox,187.96,193.04,185,24,30,0
Tim Sylvia,Assuerio Silva,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,,241,0,1,0,7,183.6666667,4,0,0,0,4,0,0,4,Orthodox,203.2,203.2,265,31,29,0
