R_fighter,B_fighter,B_current_lose_streak,B_current_win_streak,B_draw,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,Winner
Henry Cejudo,Marlon Moraes,0,4,0,9,419.4,0,0,1,0,2,1,0,4,Orthodox,167.64,170.18,135,0,4,0,27,742.6,3,0,2,4,2,0,0,8,Orthodox,162.56,162.56,135,31,32,0
Valentina Shevchenko,Jessica Eye,0,3,0,29,849,0,0,2,1,0,0,1,4,Orthodox,167.64,167.64,125,0,2,0,25,1062,2,0,1,2,0,2,0,5,Southpaw,165.1,167.64,125,32,31,0
Tony Ferguson,Donald Cerrone,0,3,0,68,581.8709677,1,0,0,7,10,6,0,23,Orthodox,185.42,185.42,155,0,11,0,33,604.4,2,0,1,3,3,6,1,14,Orthodox,180.34,193.04,155,36,35,0
Jimmie Rivera,Petr Yan,0,4,0,9,652,0,0,0,2,2,0,0,4,Switch,170.18,170.18,135,1,0,0,20,690.25,0,0,1,4,1,0,0,6,Orthodox,162.56,172.72,135,26,29,1
Tai Tuivasa,Blagoy Ivanov,0,1,0,8,1200,0,0,0,1,0,0,0,1,Southpaw,180.34,185.42,250,1,0,0,7,440.75,0,0,0,1,2,0,0,3,Southpaw,187.96,190.5,264,32,26,1
Tatiana Suarez,Nina Ansaroff,0,4,0,18,886.5,0,0,0,3,0,1,0,4,Orthodox,165.1,162.56,115,0,4,0,8,540,1,0,0,1,1,2,0,4,,165.1,167.64,115,33,28,0
Aljamain Sterling,Pedro Munhoz,0,3,0,23,495.25,0,0,0,2,3,3,0,8,Orthodox,167.64,165.1,135,0,3,0,32,750.6666667,0,0,0,5,1,3,0,9,Orthodox,170.18,180.34,135,32,29,0
Karolina Kowalkiewicz,Alexa Grasso,1,0,0,10,716,0,0,1,1,0,0,0,2,Orthodox,165.1,167.64,115,2,0,0,25,800.1111111,1,0,2,3,0,0,0,5,Orthodox,160.02,162.56,115,25,33,1
Ricardo Lamas,Calvin Kattar,0,1,0,10,670.75,0,0,0,1,2,0,0,3,Orthodox,180.34,182.88,145,0,1,0,34,624.0666667,1,0,0,3,4,3,0,10,Orthodox,172.72,180.34,145,31,37,1
Yan Xiaonan,Angela Hill,0,1,0,26,763.1,0,0,0,4,0,0,0,4,Orthodox,160.02,162.56,115,0,3,0,9,900,0,0,0,3,0,0,0,3,Orthodox,165.1,160.02,115,34,29,0
Bevon Lewis,Darren Stewart,1,0,0,14,488.7142857,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,185,1,0,0,3,692,0,0,0,0,0,0,0,0,Orthodox,190.5,200.66,185,28,28,1
Eddie Wineland,Grigorii Popov,0,0,0,0,,0,0,0,0,0,0,0,0,Switch,170.18,172.72,135,2,0,0,29,668,1,0,1,0,4,0,0,5,Orthodox,170.18,175.26,135,35,34,0
Katlyn Chookagian,Joanne Calderwood,0,2,0,18,628.625,0,0,0,3,1,1,0,5,Orthodox,167.64,165.1,125,1,0,0,18,900,0,0,1,3,0,0,0,4,Orthodox,175.26,172.72,125,33,30,0
Alexander Gustafsson,Anthony Smith,1,0,0,27,625,1,0,0,1,5,1,0,7,Orthodox,193.04,193.04,205,1,0,0,38,660.8666667,3,0,0,3,5,2,0,10,Orthodox,195.58,200.66,205,30,32,1
Jimi Manuwa,Aleksandar Rakic,0,3,0,7,681.6666667,0,0,0,2,1,0,0,3,Orthodox,193.04,198.12,205,3,0,0,21,455.7272727,0,0,0,1,3,0,2,6,Orthodox,185.42,200.66,205,27,39,1
Makwan Amirkhani,Chris Fishgold,0,1,0,3,310.5,0,0,0,0,0,1,0,1,Orthodox,172.72,172.72,145,0,1,0,11,561.8,0,0,1,1,1,1,0,4,Southpaw,177.8,182.88,145,26,30,0
Damir Hadzovic,Christos Giagos,0,1,0,10,558.2,0,0,0,1,0,1,0,2,Orthodox,177.8,180.34,155,0,2,0,12,610.8,0,0,1,0,2,0,0,3,Orthodox,175.26,177.8,155,29,32,1
Daniel Teymur,Sung Bin Jo,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,145,3,0,0,8,681.6666667,0,0,0,0,0,0,0,0,Orthodox,165.1,175.26,145,26,31,0
Rostem Akman,Sergey Khandozhko,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,170,0,0,0,0,,0,0,0,0,0,0,0,0,Switch,177.8,182.88,170,27,27,1
Tonya Evinger,Lina Lansberg,1,0,0,13,720.4,0,0,0,2,0,0,0,2,Orthodox,170.18,165.1,135,2,0,0,4,461,1,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,37,37,1
Stevie Ray,Leonardo Santos,0,4,0,14,656.3333333,1,0,1,1,1,2,0,5,Orthodox,182.88,190.5,155,0,1,0,22,686.8888889,0,1,1,2,2,0,0,6,Southpaw,177.8,177.8,155,39,29,1
Nick Hein,Frank Camacho,2,0,0,8,727.6666667,0,0,1,0,0,0,0,1,Orthodox,177.8,185.42,170,2,0,0,19,807.8571429,0,0,0,4,0,0,0,4,Southpaw,167.64,167.64,155,30,35,1
Bea Malecki,Duda Santana,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,170.18,185.42,145,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,175.26,187.96,135,23,27,0
Darko Stosic,Devin Clark,1,0,0,13,620.6666667,0,0,0,3,0,0,0,3,Orthodox,182.88,190.5,205,0,1,0,1,193,0,0,0,0,1,0,0,1,Orthodox,182.88,193.04,205,29,27,1
Joel Alvarez,Danilo Belluardo,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,182.88,187.96,155,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,155,24,25,0
Rafael Dos Anjos,Kevin Lee,1,0,0,36,724.8571429,1,0,1,3,1,4,1,10,Orthodox,175.26,195.58,170,2,0,0,74,794.7692308,4,0,0,10,4,3,0,17,Southpaw,172.72,177.8,170,26,34,0
Antonio Carlos Junior,Ian Heinisch,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,185,0,4,0,21,634.2222222,1,0,0,2,0,4,0,6,Orthodox,187.96,200.66,185,30,29,1
Megan Anderson,Felicia Spencer,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,145,0,1,0,4,480.5,0,0,0,0,1,0,0,1,Orthodox,182.88,182.88,145,28,29,1
Vicente Luque,Derrick Krantz,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,0,4,0,18,453.4,0,0,0,0,5,3,0,8,Orthodox,180.34,190.5,170,31,27,0
Charles Oliveira,Nik Lentz,0,2,0,59,754.9090909,0,0,2,7,3,2,0,14,Orthodox,172.72,172.72,155,0,4,0,42,400.5652174,0,0,0,1,0,13,0,14,Orthodox,177.8,187.96,155,34,29,0
Davi Ramos,Austin Hubbard,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,155,0,3,0,8,480.5,0,0,0,0,0,3,0,3,Orthodox,167.64,177.8,155,27,32,0
Aspen Ladd,Sijara Eubanks,0,2,0,6,900,0,0,0,2,0,0,0,2,,162.56,170.18,135,0,2,0,3,329.5,0,0,0,0,2,0,0,2,Orthodox,167.64,167.64,135,34,24,0
Desmond Green,Charles Jourdain,0,0,0,0,,0,0,0,0,0,0,0,0,Switch,175.26,175.26,155,0,1,0,16,778.6666667,0,0,1,1,1,0,0,3,Southpaw,177.8,185.42,155,23,29,0
Danny Roberts,Michel Pereira,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,170,1,0,0,17,541.625,0,0,1,1,2,1,0,5,Southpaw,185.42,187.96,170,25,31,1
Michael Trizano,Grant Dawson,0,1,0,3,900,0,0,0,1,0,0,0,1,Switch,177.8,182.88,145,0,2,0,6,900,1,0,2,0,0,0,0,2,Orthodox,180.34,180.34,155,25,27,1
Patrick Cummins,Ed Herman,3,0,0,47,560.4761905,1,0,1,2,3,4,0,10,Orthodox,185.42,195.58,205,2,0,0,26,565.8333333,0,0,1,3,2,0,0,6,Orthodox,187.96,193.04,205,38,38,1
Zak Cummings,Trevin Giles,0,2,0,5,610.5,0,0,0,0,2,0,0,2,Orthodox,182.88,187.96,185,0,1,0,22,619.3,0,0,0,3,1,3,0,7,Southpaw,182.88,190.5,185,26,34,0
Julio Arce,Julian Erosa,3,0,0,9,545,0,0,1,0,0,0,0,1,Southpaw,185.42,187.96,145,1,0,0,9,858.3333333,0,0,0,1,0,1,0,2,Southpaw,170.18,177.8,145,29,29,0
Rose Namajunas,Jessica Andrade,0,3,0,33,663.8571429,1,0,1,5,2,2,0,10,Orthodox,154.94,157.48,115,0,3,0,23,768.5,3,0,0,2,1,3,0,6,Orthodox,165.1,165.1,115,27,26,1
Ja0 Cannonier,Anderson Silva,1,0,0,58,651.2608696,13,0,0,3,11,3,0,17,Southpaw,187.96,195.58,185,0,1,0,17,535.375,0,0,0,1,3,0,0,4,Switch,180.34,195.58,185,44,35,0
Jose Aldo,Alexander Volkanovski,0,6,0,15,712.8333333,0,0,0,3,3,0,0,6,Orthodox,167.64,180.34,145,0,2,0,45,975.3076923,11,0,0,6,4,0,0,10,Orthodox,170.18,177.8,145,30,32,1
Thiago Alves,Laureano Staropoli,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,185.42,180.34,170,0,1,0,61,669.56,1,0,1,5,7,1,1,15,Orthodox,175.26,177.8,170,26,35,1
Irene Aldana,Bethe Correia,2,0,0,21,702.375,1,0,2,1,1,0,0,4,Orthodox,165.1,162.56,135,0,2,0,12,900,0,0,1,1,0,0,0,2,Orthodox,175.26,172.72,135,35,31,0
Rogerio Nogueira,Ryan Spann,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,195.58,200.66,205,0,1,0,24,576.1818182,0,0,1,1,4,0,0,6,Southpaw,187.96,190.5,205,27,42,1
Thiago Moises,Kurt Holobaugh,3,0,0,7,573.3333333,0,0,0,0,0,0,0,0,Orthodox,180.34,177.8,155,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,155,32,24,0
Warlley Alves,Sergio Moraes,1,0,0,31,730.9166667,1,0,2,2,1,3,0,8,Orthodox,182.88,182.88,170,1,0,0,22,656.6666667,1,0,0,2,0,3,1,6,Orthodox,180.34,182.88,170,36,28,0
BJ Penn,Clay Guida,1,0,0,67,702.1538462,0,0,3,5,2,4,0,14,Orthodox,170.18,177.8,155,7,0,0,74,787.5769231,11,0,0,1,6,4,1,12,Orthodox,175.26,177.8,155,37,40,1
Luana Carolina,Priscila Cachoeira,2,0,0,5,732.5,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,125,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,125,30,25,0
Raoni Barcelos,Carlos Huachin,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,162.56,170.18,135,0,2,0,5,620.5,0,0,0,0,1,1,0,2,Orthodox,170.18,170.18,135,22,32,0
Talita Bernardo,Viviane Araujo,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,162.56,172.72,135,0,1,0,9,898,0,0,0,1,0,0,0,1,Orthodox,162.56,172.72,135,32,32,1
Al Iaquinta,Donald Cerrone,0,2,0,63,551.2666667,1,0,0,6,10,6,0,22,Orthodox,185.42,185.42,155,0,1,0,33,740.0833333,2,0,1,4,4,0,0,9,Orthodox,177.8,177.8,155,36,32,1
Derek Brunson,Elias Theodorou,0,3,0,28,832.8,1,0,1,5,2,0,0,8,Orthodox,185.42,190.5,185,2,0,0,22,355.6428571,0,0,0,2,6,1,0,9,Southpaw,185.42,195.58,185,30,35,0
Cub Swanson,Shane Burgos,0,1,0,13,656.4,0,0,0,2,1,1,0,4,Orthodox,180.34,190.5,145,3,0,0,46,807.9375,0,0,0,6,4,0,0,10,Orthodox,172.72,177.8,145,28,35,1
Brad Katona,Merab Dvalishvili,0,1,0,9,900,0,0,0,1,0,0,0,1,Orthodox,167.64,172.72,135,0,2,0,6,900,1,0,0,2,0,0,0,2,Orthodox,167.64,162.56,135,28,27,1
Walt Harris,Serghei Spivac,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,260,1,0,0,20,460.9090909,0,0,0,0,4,0,0,4,Southpaw,195.58,195.58,250,24,35,0
Marc-Andre Barriault,Andrew Sanchez,0,1,0,15,838,1,0,0,3,0,0,0,3,Orthodox,185.42,187.96,185,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,185,31,29,1
Macy Chiasson,Sarah Moras,2,0,0,13,754.2,0,0,0,1,0,1,0,2,,170.18,170.18,135,0,2,0,3,270,1,0,0,0,1,1,0,2,,180.34,182.88,135,31,27,0
Aiemann Zahabi,Vince Morales,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,135,1,0,0,6,809,0,0,0,1,0,0,0,1,Orthodox,172.72,172.72,135,28,31,1
Nordine Taleb,Kyle Prepolec,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,177.8,177.8,170,2,0,0,23,626.5,0,0,1,3,2,0,0,6,Orthodox,185.42,187.96,170,29,37,0
Kyle Nelson,Matt Sayles,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,145,1,0,0,2,383,0,0,0,0,0,0,0,0,Switch,180.34,180.34,155,25,28,1
Arjan Bhullar,Juan Adams,0,1,0,3,658,0,0,0,0,1,0,0,1,Orthodox,195.58,203.2,265,0,1,0,8,739.6666667,0,0,0,2,0,0,0,2,Orthodox,185.42,190.5,245,27,32,0
Mitch Gagnon,Cole Smith,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,180.34,170.18,135,2,0,0,15,538.8571429,0,0,0,1,0,3,0,4,Southpaw,165.1,165.1,135,30,34,1
Jacare Souza,Jack Hermansson,0,3,0,13,378,0,0,0,1,3,2,0,6,Orthodox,185.42,195.58,185,0,1,0,23,509.1666667,0,0,0,1,4,4,0,9,Orthodox,185.42,182.88,185,30,39,1
Greg Hardy,Dmitrii Smoliakov,2,0,0,3,349.5,0,0,0,0,0,0,0,0,Switch,187.96,187.96,253,1,0,0,2,448,0,0,0,0,0,0,0,0,Orthodox,195.58,203.2,265,36,30,0
Alex Oliveira,Mike Perry,1,0,0,20,603.1111111,0,0,1,0,4,0,0,5,Orthodox,177.8,180.34,170,1,0,0,30,523.9285714,0,0,0,2,4,3,0,9,Orthodox,180.34,193.04,170,27,31,1
Glover Teixeira,Ion Cutelaba,0,2,0,11,553.8,0,0,0,1,2,0,0,3,Southpaw,185.42,190.5,205,0,1,0,36,566.375,1,0,0,2,4,4,1,11,Orthodox,187.96,193.04,205,25,39,0
John Lineker,Cory Sandhagen,0,3,0,5,366.6666667,0,0,0,0,2,1,0,3,Switch,180.34,177.8,135,0,2,0,38,693.3333333,0,0,1,4,6,1,0,12,Orthodox,160.02,170.18,135,27,28,1
Roosevelt Roberts,Thomas Gifford,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,155,0,1,0,1,290,0,0,0,0,0,1,0,1,Orthodox,187.96,185.42,155,26,25,0
Ben Saunders,Takashi Sato,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,177.8,185.42,170,2,0,0,33,473.7647059,0,0,1,2,3,3,0,9,Orthodox,187.96,195.58,170,28,36,1
Andrei Arlovski,Augusto Sakai,0,1,0,3,843,0,0,0,0,1,0,0,1,Orthodox,190.5,195.58,265,3,0,0,59,521.1785714,5,0,1,4,9,2,0,16,Orthodox,190.5,195.58,240,27,40,1
Carla Esparza,Virna Jandiroba,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,160.02,162.56,115,2,0,0,20,816.5714286,2,0,0,2,0,1,0,3,,154.94,160.02,115,30,31,0
Gilbert Burns,Mike Davis,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,155,0,1,0,22,615,0,0,0,2,2,3,0,7,Orthodox,177.8,180.34,155,26,32,0
Jim Miller,Jason Gonzalez,1,0,0,4,256.6666667,0,0,0,0,0,1,0,1,Southpaw,187.96,187.96,155,1,0,0,71,616.6774194,0,0,2,6,3,7,0,18,Southpaw,172.72,180.34,155,29,35,0
Angela Hill,Jodie Esquibel,2,0,0,6,900,0,0,0,0,0,0,0,0,Orthodox,154.94,162.56,115,2,0,0,23,747.8888889,0,0,0,3,0,0,0,3,Orthodox,160.02,162.56,115,32,34,0
Court McGee,Dhiego Lima,0,1,0,12,361.8571429,2,0,0,1,1,0,0,2,Orthodox,187.96,187.96,170,0,1,0,39,811.2142857,1,0,1,5,0,2,0,8,Orthodox,180.34,190.5,170,30,34,1
Alistair Overeem,Aleksei Oleinik,0,2,0,12,338.75,0,0,0,0,1,5,0,6,Orthodox,187.96,203.2,240,0,1,0,29,478.4,1,1,0,2,6,0,0,9,Orthodox,193.04,203.2,265,41,38,0
Islam Makhachev,Arman Tsarukyan,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,170.18,182.88,155,0,4,0,11,450.6666667,0,0,0,2,1,2,0,5,Orthodox,177.8,177.8,155,22,27,0
Sergei Pavlovich,Marcelo Golm,2,0,0,7,642.6666667,0,0,0,0,0,1,0,1,Orthodox,190.5,190.5,249,1,0,0,1,261,0,0,0,0,0,0,0,0,Southpaw,190.5,213.36,257,26,26,0
Roxanne Modafferi,Antonina Shevchenko,0,1,0,3,900,0,0,0,1,0,0,0,1,Southpaw,172.72,170.18,125,1,0,0,13,953,1,0,0,0,1,0,0,1,,170.18,175.26,125,34,36,0
Krzysztof Jotko,Alen Amedovski,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,187.96,185,3,0,0,26,723.9,0,0,1,4,1,0,0,6,Southpaw,185.42,195.58,185,31,29,0
Movsar Evloev,Seungwoo Choi,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,145,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,170.18,182.88,145,26,25,0
Sultan Aliev,Keita Nakamura,0,1,0,29,853.6,0,0,2,0,0,2,0,4,Southpaw,180.34,185.42,170,1,0,0,6,554,0,0,1,0,0,0,0,1,Orthodox,180.34,187.96,170,34,34,0
Alexander Yakovlev,Alex Da Silva,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,172.72,185.42,155,2,0,0,15,730.1666667,0,0,0,1,1,0,0,2,Southpaw,190.5,187.96,155,23,34,0
Marcin Tybura,Shamil Abdurakhimov,0,2,0,15,700.5,0,0,1,2,1,0,0,4,Orthodox,190.5,193.04,235,0,1,0,22,878.1428571,0,0,0,2,2,0,0,4,Orthodox,190.5,198.12,249,37,33,1
Gadzhimurad Antigulov,Michal Oleksiejczuk,0,1,0,4,497,0,0,0,0,1,0,0,1,Southpaw,182.88,187.96,205,1,0,0,3,157.6666667,0,0,0,0,0,2,0,2,Orthodox,180.34,177.8,205,24,32,1
Magomed Mustafaev,Rafael Fiziev,0,0,0,0,,0,0,0,0,0,0,0,0,Switch,172.72,180.34,155,1,0,0,5,396.3333333,0,0,0,0,1,0,1,2,Orthodox,172.72,180.34,155,26,30,0
Max Holloway,Dustin Poirier,0,3,0,45,540.8571429,0,1,0,4,8,3,0,16,Southpaw,175.26,182.88,155,0,13,0,50,744.5789474,4,0,1,4,8,2,1,16,Orthodox,180.34,175.26,155,30,27,1
Kelvin Gastelum,Israel Adesanya,0,5,0,14,821.6,0,0,1,2,2,0,0,5,Switch,193.04,203.2,185,0,2,0,35,707.4285714,1,0,3,2,3,2,0,10,Southpaw,175.26,180.34,185,29,27,1
Eryk Anders,Khalil Rountree Jr.,1,0,0,11,372.5714286,1,0,0,0,3,0,0,3,Southpaw,185.42,193.04,205,2,0,0,18,876,0,0,0,1,2,0,0,3,Southpaw,185.42,190.5,185,29,31,1
Alan Jouban,Dwight Grant,0,1,0,4,599.5,0,0,0,0,1,0,0,1,Switch,185.42,193.04,170,0,1,0,21,474.5454545,0,0,0,3,4,0,0,7,Southpaw,182.88,185.42,170,34,37,1
Ovince Saint Preux,Nikita Krylov,2,0,0,15,290.8,0,0,0,0,3,3,0,6,Orthodox,190.5,195.58,205,1,0,0,41,565.7222222,1,1,0,1,5,4,0,11,Southpaw,190.5,203.2,205,27,36,1
Jalin Turner,Matt Frevola,2,0,0,4,480,0,0,0,0,0,0,0,0,Orthodox,175.26,180.34,155,0,1,0,2,142.5,0,0,0,0,1,0,0,1,Southpaw,190.5,195.58,155,28,23,1
Wilson Reis,Alexandre Pantoja,0,2,0,13,717.8,0,0,1,1,0,2,0,4,Orthodox,165.1,170.18,125,0,1,0,31,727.5833333,1,0,0,5,0,2,0,7,Southpaw,162.56,165.1,125,28,34,1
Max Griffin,Zelim Imadaev,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,170,2,0,0,16,732,0,0,0,1,1,0,0,2,Orthodox,180.34,193.04,170,24,33,0
Boston Salmon,Khalid Taha,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,165.1,175.26,135,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,175.26,175.26,135,27,28,1
Curtis Millender,Belal Muhammad,1,0,0,22,792.25,0,0,1,3,1,0,0,5,Orthodox,180.34,182.88,170,1,0,0,9,628,0,0,0,2,1,0,0,3,Orthodox,187.96,193.04,170,30,31,1
Montel Jackson,Andre Soukhamthath,0,1,0,14,793.2,0,0,0,1,1,0,0,2,Orthodox,175.26,177.8,135,0,1,0,4,500,0,0,0,0,0,1,0,1,Southpaw,177.8,190.5,135,30,26,0
Lauren Mueller,Poliana Botelho,1,0,0,5,407,0,0,0,1,1,0,0,2,Orthodox,172.72,170.18,115,1,0,0,4,570,0,0,0,1,0,0,0,1,Orthodox,165.1,170.18,125,30,27,1
Brandon Davis,Randy Costa,0,0,0,0,,0,0,0,0,0,0,0,0,Switch,175.26,185.42,135,2,0,0,11,806.5,0,0,0,1,0,0,0,1,Orthodox,177.8,182.88,135,24,28,0
Edson Barboza,Justin Gaethje,0,1,0,10,611.75,0,0,0,0,2,0,0,2,Orthodox,180.34,177.8,155,0,1,0,51,683,0,1,1,5,7,0,0,14,Orthodox,180.34,190.5,155,30,33,1
David Branch,Jack Hermansson,0,2,0,12,425,0,0,0,1,3,1,0,5,Orthodox,185.42,195.58,185,1,0,0,19,611.625,0,0,1,2,1,0,0,4,Orthodox,185.42,198.12,185,30,37,1
Josh Emmett,Michael Johnson,0,2,0,50,684.45,1,0,1,6,4,0,0,11,Southpaw,177.8,185.42,145,1,0,0,15,711.3333333,0,0,1,2,1,0,0,4,Orthodox,167.64,177.8,145,32,34,0
Karolina Kowalkiewicz,Michelle Waterson,0,2,0,15,687.6666667,0,0,1,1,0,2,0,4,Orthodox,160.02,157.48,115,1,0,0,22,787.625,1,0,2,3,0,0,0,5,Orthodox,160.02,162.56,115,33,33,1
Kennedy Nzechukwu,Paul Craig,1,0,0,10,551,0,0,0,0,0,2,0,2,Orthodox,190.5,193.04,205,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,31,,1
Sodiq Yusuff,Sheymon Moraes,0,2,0,9,890,0,0,1,1,0,0,0,2,Orthodox,172.72,182.88,145,0,1,0,1,134,0,0,0,0,1,0,0,1,Orthodox,175.26,180.34,145,28,25,0
Marina Rodriguez,Jessica Aguilar,1,0,0,10,730.25,0,0,0,1,0,0,0,1,Orthodox,160.02,160.02,115,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,115,36,31,0
Ross Pearson,Desmond Green,1,0,0,15,900,0,0,1,1,0,0,0,2,Southpaw,177.8,185.42,155,1,0,0,65,719.72,1,0,2,5,4,0,1,12,Orthodox,172.72,175.26,155,29,34,1
Enrique Barzola,Kevin Aguilar,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,170.18,185.42,145,0,4,0,18,900,1,0,0,5,0,0,0,5,,170.18,177.8,145,30,29,1
Kevin Holland,Gerald Meerschaert,1,0,0,9,344.6666667,0,0,0,0,1,3,0,4,Southpaw,185.42,195.58,185,0,1,0,6,872.5,0,0,0,0,0,1,0,1,Orthodox,190.5,205.74,185,31,26,0
Ray Borg,Casey Kenney,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,170.18,172.72,135,1,0,0,24,851,1,0,0,3,0,2,0,5,Orthodox,162.56,160.02,135,28,25,1
Sabina Mazo,Maryna Moroz,1,0,0,13,738,0,0,1,1,0,1,0,3,Orthodox,170.18,170.18,125,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,125,27,22,1
Alex Perez,Mark De La Rosa,0,2,0,7,573.6666667,0,0,1,0,0,1,0,2,Orthodox,167.64,165.1,135,1,0,0,7,449.75,0,0,0,1,1,1,0,3,Orthodox,167.64,165.1,135,24,27,0
Stephen Thompson,Anthony Pettis,1,0,0,38,680.6,4,0,1,1,2,4,0,8,Orthodox,177.8,182.88,170,1,0,0,38,841.7692308,2,0,0,4,5,0,0,9,Orthodox,182.88,190.5,170,32,36,1
Curtis Blaydes,Justin Willis,0,4,0,10,713.25,0,0,0,3,1,0,0,4,Southpaw,185.42,198.12,264,1,0,0,18,550.125,0,0,0,2,2,0,1,5,Orthodox,193.04,203.2,265,31,28,0
John Makdessi,Jesus Pinedo,0,1,0,3,900,0,0,0,1,0,0,0,1,,177.8,,155,0,2,0,36,670.8666667,0,0,1,5,3,0,0,9,Orthodox,172.72,172.72,155,22,33,0
Jussier Formiga,Deiveson Figuei0o,0,3,0,7,654,0,0,1,0,2,0,0,3,Orthodox,165.1,172.72,125,0,3,0,29,685.1666667,0,0,0,5,0,3,0,8,Orthodox,165.1,170.18,125,31,33,0
Luis Pena,Steven Peterson,0,1,0,6,900,0,0,1,0,0,0,0,1,Orthodox,177.8,177.8,145,1,0,0,4,556,0,0,0,0,0,1,0,1,Southpaw,190.5,190.5,155,28,25,0
Maycee Barber,JJ Aldrich,0,3,0,12,900,0,0,0,3,0,0,0,3,Southpaw,165.1,170.18,125,0,1,0,2,421,0,0,0,0,1,0,0,1,Switch,165.1,165.1,125,26,20,0
Bryce Mitchell,Bobby Moffett,0,1,0,2,463,0,0,0,0,0,1,0,1,Orthodox,177.8,187.96,145,0,1,0,3,900,0,1,0,0,0,0,0,1,Southpaw,177.8,,145,28,24,0
Marlon Vera,Frankie Saenz,0,2,0,24,876.75,0,0,2,3,0,0,0,5,Orthodox,167.64,167.64,135,0,2,0,25,688.7,0,0,0,1,2,3,0,6,Switch,172.72,177.8,135,38,26,0
Alexis Davis,Jennifer Maia,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,162.56,162.56,125,1,0,0,23,708.3333333,1,0,2,3,0,1,0,6,Orthodox,167.64,172.72,125,30,34,1
Randa Markos,Angela Hill,1,0,0,22,808.375,0,0,0,3,0,0,0,3,Orthodox,160.02,162.56,115,2,0,0,28,837.4,0,0,1,3,0,0,0,4,Orthodox,162.56,160.02,115,34,33,0
Ryan MacDonald,Chris Gutierrez,1,0,0,2,552,0,0,0,0,0,0,0,0,Orthodox,175.26,175.26,135,0,0,0,0,,0,0,0,0,0,0,0,0,Switch,180.34,180.34,135,27,26,1
